date,inflation,food,housing,house_items,clothing,transport,communication,health,personal,education,int_rate,money_supply,min_wages,gov_debt
2018-06-01,"1,26 ","2,03 ","2,48 ","0,34 ","-0,16 ","1,58 ","0,00 ","0,37 ","0,33 ","0,02","0,52",225768541,"954,00","3.573.675,31"
2018-07-01,"0,33 ","-0,12 ","1,54 ","0,47 ","-0,60 ","0,49 ","0,08 ","0,07 ","0,31 ","-0,08","0,54",227029344,"954,00","3.641.522,19"
2018-08-01,"-0,09 ","-0,34 ","0,44 ","0,56 ","0,19 ","-1,22 ","0,03 ","0,53 ","0,36 ","0,25","0,57",230592551,"954,00","3.595.765,86"
2018-09-01,"0,48 ","0,10 ","0,37 ","0,11 ","-0,02 ","1,69 ","-0,07 ","0,28 ","0,38 ","0,24","0,47",235679069,"954,00","3.673.267,23"
2018-10-01,"0,45 ","0,59 ","0,14 ","0,76 ","0,33 ","0,92 ","0,02 ","0,27 ","0,25 ","0,04","0,54",235090180,"954,00","3.772.984,29"
2018-11-01,"-0,21 ","0,39 ","-0,71 ","0,48 ","-0,43 ","-0,74 ","-0,07 ","-0,71 ","0,36 ","0,04","0,49",238857805,"954,00","3.778.639,62"
2018-12-01,"0,15 ","0,44 ","-0,15 ","0,57 ","1,14 ","-0,54 ","0,01 ","0,32 ","0,29 ","0,21","0,49",264967669,"954,00","3.832.957,88"
2019-01-01,"0,32 ","0,90 ","0,24 ","0,32 ","-1,15 ","0,02 ","0,04 ","0,26 ","0,61 ","0,12","0,54",241502408,"998,00","3.867.946,08"
2019-02-01,"0,43 ","0,78 ","0,38 ","0,20 ","-0,33 ","-0,34 ","0,00 ","0,49 ","0,18 ","3,53","0,49",241233707,"998,00","3.899.150,46"
2019-03-01,"0,75 ","1,37 ","0,25 ","0,27 ","0,45 ","1,44 ","-0,22 ","0,42 ","0,16 ","0,32","0,47",236674943,"998,00","3.882.047,42"
2019-04-01,"0,57 ","0,63 ","0,24 ","-0,24 ","0,18 ","0,94 ","0,03 ","1,51 ","0,17 ","0,09","0,52",235680830,"998,00","3.898.797,52"
2019-05-01,"0,13 ","-0,56 ","0,98 ","-0,10 ","0,34 ","0,07 ","-0,03 ","0,59 ","0,16 ","-0,04","0,54",233750937,"998,00","3.941.330,33"
2019-06-01,"0,01 ","-0,25 ","0,07 ","0,02 ","0,30 ","-0,31 ","-0,02 ","0,64 ","0,15 ","0,14","0,47",235378622,"998,00","3.994.529,30"
2019-07-01,"0,19 ","0,01 ","1,20 ","0,29 ","-0,52 ","-0,17 ","0,57 ","-0,20 ","0,44 ","0,04","0,57",236223218,"998,00","4.018.959,15"
2019-08-01,"0,11 ","-0,35 ","1,19 ","0,56 ","0,23 ","-0,39 ","0,09 ","-0,03 ","0,31 ","0,16","0,50",237058538,"998,00","4.095.014,42"
2019-09-01,"-0,04 ","-0,43 ","0,02 ","-0,76 ","0,27 ","0,00 ","-0,01 ","0,58 ","0,04 ","0,04","0,46",243901597,"998,00","4.119.034,74"
2019-10-01,"0,10 ","0,05 ","-0,61 ","-0,09 ","0,63 ","0,45 ","-0,01 ","0,40 ","0,20 ","0,03","0,48",245421698,"998,00","4.131.475,84"
2019-11-01,"0,51 ","0,72 ","0,71 ","-0,36 ","0,35 ","0,30 ","-0,02 ","0,21 ","1,24 ","0,08","0,38",254589175,"998,00","4.190.113,83"
2019-12-01,"1,15 ","3,38 ","-0,82 ","-0,48 ","0,00 ","1,54 ","0,66 ","0,42 ","0,92 ","0,20","0,37",280685185,"998,00","4.231.844,48"
2020-01-01,"0,21 ","0,39 ","0,55 ","-0,07 ","-0,48 ","0,32 ","0,12 ","-0,32 ","0,35 ","0,16","0,38",257444800,"1.039,00","4.222.098,35"
2020-02-01,"0,25 ","0,11 ","-0,39 ","-0,08 ","-0,73 ","-0,23 ","0,21 ","0,73 ","0,31 ","3,70","0,29",259344600,"1.045,00","4.279.750,33"
2020-03-01,"0,07 ","1,13 ","0,13 ","-1,08 ","0,21 ","-0,90 ","0,04 ","0,21 ","-0,23 ","0,59","0,34",259536017,"1.045,00","4.358.648,27"
2020-04-01,"-0,31 ","1,79 ","-0,10 ","-1,37 ","0,10 ","-2,66 ","-0,20 ","-0,22 ","-0,14 ","0,00","0,28",291214979,"1.045,00","4.488.713,15"
2020-05-01,"-0,38 ","0,24 ","-0,25 ","0,58 ","-0,58 ","-1,90 ","0,24 ","-0,10 ","-0,04 ","0,02","0,24",315117776,"1.045,00","4.638.022,09"
2020-06-01,"0,26 ","0,38 ","0,04 ","1,30 ","-0,46 ","0,31 ","0,75 ","0,35 ","-0,05 ","0,05","0,21",335059751,"1.045,00","4.853.880,43"
2020-07-01,"0,36 ","0,01 ","0,80 ","0,90 ","-0,52 ","0,78 ","0,51 ","0,44 ","-0,11 ","-0,12","0,19",345720204,"1.045,00","4.947.120,54"
2020-08-01,"0,24 ","0,78 ","0,36 ","0,56 ","-0,78 ","0,82 ","0,67 ","0,50 ","-0,01 ","-3,47","0,16",351356872,"1.045,00","4.730.781,08"
2020-09-01,"0,64 ","2,28 ","0,37 ","1,00 ","0,37 ","0,70 ","0,15 ","-0,64 ","0,09 ","-0,09","0,16",354308092,"1.045,00","4.837.826,42"
2020-10-01,"0,86 ","1,93 ","0,36 ","1,53 ","1,11 ","1,19 ","0,21 ","0,28 ","0,19 ","-0,04","0,16",356836332,"1.045,00","4.881.049,95"
2020-11-01,"0,89 ","2,54 ","0,44 ","0,86 ","0,07 ","1,33 ","0,29 ","-0,13 ","0,01 ","-0,02","0,15",359042563,"1.045,00","4.896.226,11"
2020-12-01,"1,35 ","1,74 ","2,88 ","1,76 ","0,59 ","1,36 ","0,39 ","0,40 ","0,65 ","0,48","0,16",370441036,"1.045,00","4.973.115,05"
2021-01-01,"0,25 ","1,02 ","-1,07 ","0,86 ","-0,07 ","0,41 ","0,02 ","0,32 ","0,39 ","0,13","0,15",363537625,"1.100,00","4.962.494,67"
2021-02-01,"0,86 ","0,27 ","0,40 ","0,66 ","0,38 ","2,28 ","-0,13 ","0,62 ","0,17 ","2,48","0,13",350885762,"1.100,00","5.004.301,39"
2021-03-01,"0,93 ","0,13 ","0,81 ","0,69 ","0,29 ","3,81 ","-0,07 ","-0,02 ","0,04 ","-0,52","0,20",343090507,"1.100,00","5.045.108,94"
2021-04-01,"0,31 ","0,40 ","0,22 ","0,57 ","0,47 ","-0,08 ","0,08 ","1,19 ","0,01 ","0,04","0,21",339898271,"1.100,00","5.018.717,97"
2021-05-01,"0,83 ","0,44 ","1,78 ","1,25 ","0,92 ","1,15 ","0,21 ","0,76 ","0,21 ","0,06","0,27",337274879,"1.100,00","5.053.686,92"
2021-06-01,"0,53 ","0,43 ","1,10 ","1,09 ","1,21 ","0,41 ","-0,12 ","0,51 ","0,29 ","0,05","0,31",340095553,"1.100,00","5.133.428,61"
2021-07-01,"0,96 ","0,60 ","3,10 ","0,78 ","0,53 ","1,52 ","0,12 ","-0,65 ","0,45 ","0,18","0,36",343812587,"1.100,00","5.191.114,72"
2021-08-01,"0,87 ","1,39 ","0,68 ","0,99 ","1,02 ","1,46 ","0,23 ","-0,04 ","0,64 ","0,28","0,43",341302698,"1.100,00","5.212.554,57"
2021-09-01,"1,16 ","1,02 ","2,56 ","0,90 ","0,31 ","1,82 ","0,07 ","0,39 ","0,56 ","-0,01","0,44",336844324,"1.100,00","5.262.849,94"
2021-10-01,"1,25 ","1,17 ","1,04 ","1,27 ","1,80 ","2,62 ","0,54 ","0,39 ","0,75 ","0,06","0,49",331653831,"1.100,00","5.289.723,28"
