Data;4501 - Divida líquida do governo geral - Saldos em R$ milhões - R$ (milhões)
06/2019;3.994.529,30
07/2019;4.018.959,15
08/2019;4.095.014,42
09/2019;4.119.034,74
10/2019;4.131.475,84
11/2019;4.190.113,83
12/2019;4.231.844,48
01/2020;4.222.098,35
02/2020;4.279.750,33
03/2020;4.358.648,27
04/2020;4.488.713,15
05/2020;4.638.022,09
06/2020;4.853.880,43
07/2020;4.947.120,54
08/2020;4.730.781,08
09/2020;4.837.826,42
10/2020;4.881.049,95
11/2020;4.896.226,11
12/2020;4.973.115,05
01/2021;4.962.494,67
02/2021;5.004.301,39
03/2021;5.045.108,94
04/2021;5.018.717,97
05/2021;5.053.686,92
06/2021;5.133.428,61
07/2021;5.191.114,72
08/2021;5.212.554,57
09/2021;5.262.849,94
10/2021;5.289.723,28
Fonte;BCB-DSTAT
